| Category           | Script Name                                | ThinkSystem        | ThinkSystem    | ThinkSystem v2  | ThinkSystem v3  | ThinkSystem v3  |
|                    |                                            | AMD 2P(Rome/Milan) | Intel(Purley)  | Intel(Whitley)  | Intel (EGS)     |  AMD (Genoa)    |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|-----------------|-----------------|
| Inventory          | get_bmc_inventory.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_cpu_inventory.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_fan_inventory.psm1                     |        Yes         |     Yes *2     |     Yes *2      |     Yes *2      |     Yes *2      |
|                    | get_memory_inventory.psm1                  |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_nic_inventory.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_pci_inventory.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_psu_inventory.psm1                     |        Yes         |     Yes *2     |     Yes *2      |     Yes *2      |     Yes *2      |
|                    | get_power_redundancy.psm1                  |        Yes         |     Yes *2     |     Yes *2      |     Yes *2      |     Yes *2      |
|                    | get_storage_inventory.psm1                 |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_system_inventory.psm1                  |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_chassis_inventory.psm1                 |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_temperatures_inventory.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_get_cpu_inventory.psm1              |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_volt_inventory.psm1                    |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_chassis_inventory.psm1                 |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|--------------------|--------------------------------------------|--------------------|--------------- |-----------------|-----------------|-----------------|
| Power Control      | get_power_state.psm1                       |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_system_reset_types.psm1                |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_power_state.psm1                       |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | restart_bmc.psm1                           |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|-----------------|-----------------|
| Event Log          | get_system_log.psm1                        |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | clear_system_log.psm1                      |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_export_ffdc_data.psm1               |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|-----------------|-----------------|
| Event subscription | get_event_subscriptions.psm1               |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | add_event_subscriptions.psm1               |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | del_event_subscriptions.psm1               |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | send_test_event.psm1                       |        Yes         |     Yes        |     Yes         |     NO          |     NO          | 
|                    | lenovo_add_alert_recipient.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_del_alert_recipient.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_get_alert_recipients.psm1           |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|-----------------|-----------------|
| BIOS settings      | get_all_bios_attributes.psm1               |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_bios_attribute.psm1                    |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_bios_attribute.psm1                    |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_bios_attribute_metadata.psm1           |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | reset_bios_default.psm1                    |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_bios_bootmode.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_bios_bootmode_legacy.psm1              |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_bios_bootmode_uefi.psm1                |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_get_bios_boot_order.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | lenovo_set_bios_boot_order.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_server_boot_once.psm1                  |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_server_boot_once_types.psm1            |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_server_boot_once.psm1                  |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | get_secure_boot_status.psm1                |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | disable_secure_boot.psm1                   |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | enable_secure_boot.psm1                    |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | reset_secure_boot.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|                    | set_bios_password.psm1                     |        Yes         |     Yes        |     Yes         |     Yes         |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|-----------------|-----------------|
